,Cases,Recovered,Deaths,Cases-1,Recovered-1,Deaths-1,Cases-2,Recovered-2,Deaths-2,Cases-3,Recovered-3,Deaths-3,Cases-4,Recovered-4,Deaths-4,Cases-5,Recovered-5,Deaths-5
81,472,279,10,403,269,10,471,280,14,382,275,12,356,177,11,272,276,10
82,316,246,11,472,279,10,403,269,10,471,280,14,382,275,12,356,177,11
83,361,217,3,316,246,11,472,279,10,403,269,10,471,280,14,382,275,12
84,341,82,11,361,217,3,316,246,11,472,279,10,403,269,10,471,280,14
85,443,744,17,341,82,11,361,217,3,316,246,11,472,279,10,403,269,10
86,396,310,4,443,744,17,341,82,11,361,217,3,316,246,11,472,279,10
87,352,230,10,396,310,4,443,744,17,341,82,11,361,217,3,316,246,11
88,333,132,13,352,230,10,396,310,4,443,744,17,341,82,11,361,217,3
89,412,324,10,333,132,13,352,230,10,396,310,4,443,744,17,341,82,11
90,219,255,3,412,324,10,333,132,13,352,230,10,396,310,4,443,744,17
91,374,178,10,219,255,3,412,324,10,333,132,13,352,230,10,396,310,4
92,236,277,18,374,178,10,219,255,3,412,324,10,333,132,13,352,230,10
93,292,288,23,236,277,18,374,178,10,219,255,3,412,324,10,333,132,13
94,361,213,2,292,288,23,236,277,18,374,178,10,219,255,3,412,324,10
95,362,183,20,361,213,2,292,288,23,236,277,18,374,178,10,219,255,3
96,576,231,14,362,183,20,361,213,2,292,288,23,236,277,18,374,178,10
97,575,214,4,576,231,14,362,183,20,361,213,2,292,288,23,236,277,18
98,599,143,9,575,214,4,576,231,14,362,183,20,361,213,2,292,288,23
99,400,198,19,599,143,9,575,214,4,576,231,14,362,183,20,361,213,2
100,282,215,23,400,198,19,599,143,9,575,214,4,576,231,14,362,183,20
101,359,285,9,282,215,23,400,198,19,599,143,9,575,214,4,576,231,14
102,376,109,7,359,285,9,282,215,23,400,198,19,599,143,9,575,214,4
103,440,299,15,376,109,7,359,285,9,282,215,23,400,198,19,599,143,9
104,375,122,10,440,299,15,376,109,7,359,285,9,282,215,23,400,198,19
105,396,157,9,375,122,10,440,299,15,376,109,7,359,285,9,282,215,23
106,407,271,16,396,157,9,375,122,10,440,299,15,376,109,7,359,285,9
107,450,267,14,407,271,16,396,157,9,375,122,10,440,299,15,376,109,7
108,314,396,30,450,267,14,407,271,16,396,157,9,375,122,10,440,299,15
109,352,381,18,314,396,30,450,267,14,407,271,16,396,157,9,375,122,10
110,309,483,12,352,381,18,314,396,30,450,267,14,407,271,16,396,157,9
111,311,502,10,309,483,12,352,381,18,314,396,30,450,267,14,407,271,16
112,296,393,3,311,502,10,309,483,12,352,381,18,314,396,30,450,267,14
113,300,497,16,296,393,3,311,502,10,309,483,12,352,381,18,314,396,30
114,294,561,21,300,497,16,296,393,3,311,502,10,309,483,12,352,381,18
115,298,520,16,294,561,21,300,497,16,296,393,3,311,502,10,309,483,12
116,276,564,17,298,520,16,294,561,21,300,497,16,296,393,3,311,502,10
117,319,754,6,276,564,17,298,520,16,294,561,21,300,497,16,296,393,3
118,193,576,4,319,754,6,276,564,17,298,520,16,294,561,21,300,497,16
119,247,349,6,193,576,4,319,754,6,276,564,17,298,520,16,294,561,21
120,239,384,19,247,349,6,193,576,4,319,754,6,276,564,17,298,520,16
121,382,510,14,239,384,19,247,349,6,193,576,4,319,754,6,276,564,17
122,371,418,15,382,510,14,239,384,19,247,349,6,193,576,4,319,754,6
123,259,442,15,371,418,15,382,510,14,239,384,19,247,349,6,193,576,4
124,314,476,5,259,442,15,371,418,15,382,510,14,239,384,19,247,349,6
125,231,619,5,314,476,5,259,442,15,371,418,15,382,510,14,239,384,19
126,205,220,4,231,619,5,314,476,5,259,442,15,371,418,15,382,510,14
127,257,272,7,205,220,4,231,619,5,314,476,5,259,442,15,371,418,15
128,277,640,14,257,272,7,205,220,4,231,619,5,314,476,5,259,442,15
129,262,599,8,277,640,14,257,272,7,205,220,4,231,619,5,314,476,5
130,265,571,11,262,599,8,277,640,14,257,272,7,205,220,4,231,619,5
